ingredient,substitute,reason
chicken breast,tofu or tempeh,Plant-based protein swap with similar protein per portion.
chicken thigh,lentils,Lower cost and higher fiber; adjust spices to taste.
salmon,canned tuna or sardines,Cheaper fatty fish with omega-3s.
eggs,silken tofu,Good binder for scrambles/bakes when avoiding egg.
milk,soy milk (unsweetened),Similar protein and neutral flavor for cooking.
butter,olive oil or avocado oil,Dairy-free fat for sautéing and baking.
wheat pasta,chickpea pasta,Higher protein and gluten-free option.
rice,cauliflower rice,Lower carbs; quick microwave prep.
heavy cream,coconut milk (full fat),Dairy-free creamy texture.
ground beef,black beans or lentils,Cuts saturated fat, adds fiber, budget-friendly.
